date,air_temp_CZ,air_temp_DE,air_temp_HU,air_temp_RO,air_temp_SK,precipitation_CZ,precipitation_DE,precipitation_HU,precipitation_RO,precipitation_SK,electricity_daily_average_CZ,irradiance_CZ,irradiance_DE,irradiance_HU,irradiance_RO,irradiance_SK,electricity_demand_CZ,electricity_demand_DE,electricity_demand_HU,electricity_demand_RO,electricity_demand_SK,wind_speed_CZ,wind_speed_DE,wind_speed_HU,wind_speed_RO,wind_speed_SK,hydro_energy_DE,hydro_energy_FR,hydro_energy_RO,hydro_energy_SK,time_series
2020-07-14,21.54,19.39,28.72,25.81,25.08,0.0037908677382089,0.00579650442785078,2.69248564242343e-05,0.000153920309413867,0.000524754459211023,1007.89,216.345282782096,188.330637054814,285.338565710446,285.651961146088,266.107098797229,-2757512.5,-689766.5,120673.2,90792.4,-8718.4,2.53392871173281,3.62004330637039,4.19257842637453,2.95386366620794,4.18290299050089,3247.45,38906.09,25215.35,1014.94,1
2020-07-15,19.22,18.14,28.64,27.56,23.72,0.00945848616830849,0.00282666662807929,0.000244802472213189,0.000114312178374821,0.00908226913182746,1140.96,145.840584527497,232.509982073066,280.784491809483,289.049255897181,236.691130553681,-2757102.9,-696757,121365.2,94445.3,-7395.6,3.76423574756232,4.68189599725503,5.31905551082442,2.68047728370762,4.30686851870576,3251.66,38416.21,25083.81,923.4,1
2020-07-16,20.43,20.49,25.01,26.68,21.47,2.3412312060082e-05,0.000147224583069682,2.78105972036612e-05,0.000737709383126808,7.40340352594889e-05,1144.37,306.318344945244,254.497312983088,288.992445116888,280.023270439584,291.294414078974,-2758529.1,-689556.8,116743.4,93790.5,-8496.8,2.29751295401814,3.72907157872905,4.31087128307288,3.64965962102482,3.23461907515748,3238.94,38087.08,24908.34,924.42,1
2020-07-17,20.22,22.21,25.98,24.62,22.18,0.00424293627843638,0.00158538910700074,2.61478104614032e-05,0.00036393125969814,0.000232486135729484,1063.14,182.033467228552,239.839964672401,274.221268608327,274.258792297836,247.684548388384,-2760967.8,-710605.3,116420.6,89994.1,-8123.1,2.9303878178726,3.18618172006327,3.91746289183975,3.73076103442882,2.89841847911413,3251.04,38103.72,24534.01,917.6,1
2020-07-18,22.13,20.12,26.35,25.06,23.18,0.000812344096250356,0.00249749694765641,2.67538104435969e-05,0.00100551443713545,2.79190420976446e-05,807.22,282.702059346746,188.281264327242,284.358659417104,266.230349930393,280.818401430323,-2784046.4,-925957.8,106721.1,79297.8,-13999,3.67194446337275,6.72652529624337,3.09257237961598,3.43358135448944,2.76201751505136,3258.49,37767.95,23134.46,919.99,1
2020-07-19,18.82,17.88,24.19,25.28,21.48,8.0556771680695e-05,0.00087748918877301,0.00180032017527322,0.00165268405488355,0.00197154515739672,719.30,249.407194115181,216.906609346909,212.667446503755,254.786303895415,235.719476595317,-2789138.4,-1068051.6,98052.3,67831.1,-16608.7,5.29203292369101,6.73112421633985,4.71959509075495,3.00523239955316,3.83732919812598,3290.27,37781.55,23145.02,920.42,1
2020-07-20,20.44,18.54,25.18,24.94,21.54,0.000535990287404163,0.00153380013401106,2.59136084254343e-05,0.000685647552913699,2.96485726225798e-05,924.74,282.126870494458,222.975258036866,288.957244158489,263.515907663756,280.003630873892,-2763398.8,-743037.2,111965,87745.2,-9603.9,3.26683262458802,4.28669171429047,3.20647605220039,2.85092993571197,3.17113141611859,3302.29,39049.81,22573.72,921.39,1
2020-07-21,16.89,15.97,25.83,27.04,20.89,0.00789816694437971,0.00131608972828215,0.000403634219320901,0.000165517362770512,0.00368068384211822,914.40,128.801818411746,226.74314078952,233.143445807906,277.208759005992,193.615948908194,-2759487.9,-724344.7,116013,94372.9,-8283.3,4.50984963160777,4.34886681999324,6.10778767347967,5.00834932419245,4.87576093493291,3297.57,38603.79,20396.42,914.92,1
2020-07-22,14.70,14.19,20.52,22.68,17.79,0.00288938749105727,0.00398898431912845,0.000883610078473319,0.00257000224235364,0.000327094121053977,962.47,233.861725965217,134.556093744193,182.016092302167,221.899952061798,255.194880370449,-2761907.8,-715909.7,110173.8,88852.3,-11458.6,5.84993728459498,7.15421585621742,6.44969963925062,6.08104483321198,5.40181548527144,3307.85,38112.71,20137.66,909.82,1
2020-07-23,14.05,14.57,19.09,18.69,15.05,0.00893683039402896,0.00322376018482492,0.00191389912451098,0.00747782619177009,0.00965863758720868,946.76,197.30889977157,176.880684221143,229.134650389703,216.015183351108,181.73363955495,-2762147.1,-724187.1,107444.5,84577.8,-15028.2,9.47462427317628,8.9036746740955,7.73065590927265,6.24898176727674,6.63011120009529,3299.03,37740.17,20164.34,908.93,1
2020-07-24,14.11,16.41,18.50,17.90,15.46,0.00333331822421325,0.00104081920248371,0.00061579943883056,0.00134388872334913,0.00191976603496712,851.82,110.839900999929,115.997247413204,209.625359857366,224.292070183048,216.252177743568,-2763903.9,-742558.3,105312,82478,-18086.8,6.61037475600848,6.18642779029009,6.655855082465,6.31460214137964,6.13354100258549,3386.49,38233.84,16815.76,907.51,1
2020-07-25,20.45,22.58,21.77,18.32,18.00,0.000347133623688967,0.00151419603597769,0.000284400403195905,0.00256926431797382,0.00103945869373662,731.92,255.65324893103,268.027270136032,230.983208853819,209.603798176707,179.908942795398,-2787783,-934595.3,96995,70766.9,-24776.6,4.6367017346974,5.91601364019062,3.91535224437163,4.2354066605563,3.27570925482486,3379.05,38609.91,16878.59,906.5,1
2020-07-26,21.38,20.41,25.77,21.29,22.04,0.00543057282825207,0.00432994056506249,0.000153718901805282,0.000113586489882784,0.00172812982364017,360.39,212.19605881945,158.6066808293,284.401773397872,281.96549367326,279.995527753637,-2790016,-1057484.8,95070.2,61616.6,-24660.7,4.70455539753539,6.82845208467435,5.326282184347,2.97639197308144,5.19024802961673,3306.25,37165.9,17776.08,905.4,1
2020-07-27,18.47,17.53,25.73,24.95,20.87,0.0015690758603164,0.00100434522749639,0.000510093947765966,0.000125731804059833,0.00661750215819515,854.48,172.754209870382,234.201474343374,252.90294004943,272.321660635115,178.064348666607,-2767434.9,-763742.8,108150.2,85856.9,-18161.8,3.11723512730361,4.40739437450685,3.78354729052169,3.21871506320545,3.06025376938761,3268.85,36059.8,17627.36,894.66,1
2020-07-28,18.58,19.65,26.38,25.58,21.25,0.00498657274769927,5.62045826965589e-05,0.000237278313589374,0.000125576844586192,0.00459038779592969,765.27,171.174177616045,256.571484097598,257.672459944193,266.745803640731,184.2946921455,-2765691.6,-727556.8,112198.6,90359.2,-16145.6,2.5196479316598,2.74246524247764,3.9040418652493,4.03588394019042,2.67178761303585,3286.08,36261.5,17740.22,881.58,1
2020-07-29,21.98,23.08,27.88,26.52,23.64,1.62169554544312e-05,0.00238184100533401,2.6768711750415e-05,0.000144160756536227,5.72550224796301e-05,848.96,283.732535053234,263.877247758842,274.415427754295,260.714118836741,269.729383587362,-2764418.4,-698484.6,114423.5,92405.4,-13766.4,4.57665819328244,5.13265259199755,2.68574937951979,2.96707340729905,2.65712444879929,3288.48,36530.3,17169.74,878.21,1
2020-07-30,23.00,22.34,29.75,27.47,25.33,0.00394648071227962,0.00214516936341986,3.68168502965603e-05,0.000147142470544732,0.000212016610697609,928.64,211.593975485198,211.327236123756,232.720941512958,260.236436990738,248.020246979157,-2763787.7,-695028.8,117361.4,94029.5,-10747.3,4.35109325910787,5.32531279736731,3.36214510674906,2.53624788887322,4.49594006607964,3280.22,36395.23,17340.72,877.94,1
2020-07-31,23.41,24.08,29.85,27.71,25.45,1.54592644481122e-05,0.00126324241269694,2.43576918303213e-05,0.000150551535236288,1.96076835540214e-05,1001.84,289.825825685401,272.781978811581,267.457307933211,250.209723772979,267.535952994868,-2766809.2,-706557.5,117021.7,93367.9,-8898.2,3.34644638386383,4.88014027312932,2.86086419380808,2.99667857201405,2.282894206281,3273.66,36266.84,16116.69,878.56,1
2020-08-01,24.17,21.68,30.11,26.94,26.50,0.0137920231899167,0.00310065870702517,3.19759628623545e-05,0.000101851117388563,4.09813336907633e-05,713.36,217.775636992088,200.141039711725,270.722815569738,281.960818383192,274.837985684759,-2783957.6,-918025.2,107230.2,79988.7,-10493.5,3.78403983177305,5.27838077331905,3.32937142069585,2.91818895671151,3.11077548453748,3411.07,35748.72,16999.92,877.2,1
