date,air_temp_CZ,air_temp_DE,air_temp_HU,air_temp_RO,air_temp_SK,precipitation_CZ,precipitation_DE,precipitation_HU,precipitation_RO,precipitation_SK,electricity_daily_average_CZ,irradiance_CZ,irradiance_DE,irradiance_HU,irradiance_RO,irradiance_SK,electricity_demand_CZ,electricity_demand_DE,electricity_demand_HU,electricity_demand_RO,electricity_demand_SK
09/04/2024,-1.74,0.36,4.20,6.53,1.29,0.00450799800823338,0.00122885249026779,0.00897907175191997,0.004473772942991,0.0119542402883317,1506.72,203.898299916493,230.987420170658,102.35126497535,165.955500555927,135.62306404853,-2691001.6,-264155,142849.7,94354.2,-17554.8
10/04/2024,-2.30,1.34,1.00,3.63,-1.55,0.002547574536595,0.000194573938350049,0.00196605598239288,0.00395408054775599,0.00258389066746492,1738.73,215.562219977593,229.898734130993,158.339335857918,174.668356575712,177.109032997498,-2687357.6,-243148.6,148654.8,97289.1,-16854.3
11/04/2024,-0.50,2.24,3.16,2.63,1.19,0.00392095932059109,0.00068092624851294,0.00225381481202518,0.00238463018626992,0.00191743698875117,1485.67,168.369514782474,212.908527663091,155.471226887264,183.550989323414,159.23019929179,-2687341.2,-234074.6,150479.5,97904.5,-17868
12/04/2024,-0.07,3.50,4.29,4.15,1.02,3.9238900386097e-05,0.000306838823721715,0.000575112910360897,0.00727641112746581,0.000702960576084472,1517.25,236.970447183142,218.828372674538,162.805107678994,183.284933781315,190.147048402113,-2689597.8,-277363.9,150270.5,95508.6,-18281.1
13/04/2024,0.35,4.74,3.62,4.76,0.83,2.05541014115292e-05,6.77481675819075e-05,0.00470357719231528,0.0167734286023539,0.00292031749886751,448.77,259.793789969123,226.99420019626,174.320423695542,90.6517275737033,198.572792770929,-2714764.9,-521479.1,143430.5,87837.1,-24928.3
14/04/2024,1.46,4.68,4.89,5.16,2.17,0.000801141744317785,5.72285924493656e-06,0.00366976312749836,0.00437508868948113,0.00555855615016514,407.30,239.737943609915,251.794730309848,157.449875170329,101.24329034463,169.705732913762,-2720999.1,-637247,138361,73970.6,-27268.9
15/04/2024,4.85,5.51,7.95,6.09,4.58,4.60483688042578e-05,0.000791175163820443,0.000202479092003681,0.00138434040666024,0.000429538063040964,2031.90,247.345539048707,193.553362117431,216.442466283443,188.612316418622,205.412724486336,-2698727.4,-311106.2,145012.7,87525.1,-21082.9
16/04/2024,9.44,9.35,11.77,9.59,7.54,0.0020044095675567,0.00440824383414984,0.00110127345047715,0.00045726150452263,0.00062049089552067,1686.99,223.114041787958,142.344627697287,140.612886885203,207.951114957625,183.862944924963,-2700185.6,-321807,143113.3,88488.8,-20045.5
17/04/2024,11.20,11.69,13.76,11.18,10.63,0.00681309224761248,0.00379090007396478,0.00719530904808128,0.00557781898785682,0.00457893149487827,2350.93,83.606929781462,169.134413334569,78.5516522053604,124.236382869397,61.8118912162287,-2702301.1,-370264.2,138587.9,90409.2,-19097.6
18/04/2024,9.64,10.40,13.88,11.09,12.06,0.00354597437298777,0.00145146563617121,0.00405681789886887,0.0153606542778429,0.00354696836047708,2403.09,77.0179963846713,174.389674782968,109.025571860344,55.9362876475773,133.660545384603,-2704081.3,-399732.1,132996.4,92997,-20254
19/04/2024,7.59,8.59,12.05,10.46,10.39,0.00949951566651122,0.00429552327061933,0.00546588319800758,0.00613292586729446,0.00712428080664503,1747.06,65.8825875475386,125.55780145576,84.4732752610696,78.5150733645975,74.2483211264816,-2705125.5,-418106.7,130189.6,91311.9,-19463.1
20/04/2024,6.85,7.23,12.27,10.06,10.70,0.00477710376100337,0.00248888013481696,0.000515002334682548,0.00329887592553975,0.000724257910018475,1513.54,75.8201851425246,171.471126359737,223.655724322995,158.601232397277,200.700912334693,-2730555,-646806.4,117229.9,78423.5,-27102.7
21/04/2024,3.19,6.01,7.39,6.40,3.56,0.000302860195510508,1.37546739125268e-05,0.000515491534611426,0.00218200241149139,0.00173877346609557,1379.21,244.25103121371,254.367739550285,244.204659092293,185.748710603187,222.92939132273,-2735387.2,-753113.9,114561.4,69154.4,-28939
22/04/2024,4.14,6.98,7.26,5.72,4.78,0.000192592191942966,6.98012590820315e-06,4.8949542884045e-05,0.00158218515551414,0.000987886662653001,2488.67,228.094982847624,267.252939008242,225.546301547162,194.200298748873,190.830207120602,-2708136.3,-444575.8,128286.4,83151.8,-22006.2
23/04/2024,5.95,8.48,9.17,6.72,6.79,0.000337502698232037,2.66985395146805e-05,3.72585917453772e-05,0.00166568896156932,0.000503084008341132,2533.91,209.383339753876,262.799837335028,250.49799983143,156.794634796383,185.470339740379,-2706064.5,-424958.4,129985.2,92199.3,-20514.5
24/04/2024,7.94,9.75,10.76,7.49,8.50,0.000121919416051896,3.71096624295182e-05,0.000145193776225763,0.00104290238104822,1.43836260591643e-05,2461.30,244.003191943013,258.046151084001,217.478664230017,219.48378941203,250.926797771886,-2708470.6,-439590.6,129182.8,89516.7,-20926.5
25/04/2024,9.21,11.32,11.65,8.47,9.42,4.91614519205784e-06,1.24412815948749e-05,5.62475111562506e-05,0.000360596939904305,3.03866970051771e-05,2295.79,270.444782604572,272.396615675265,267.136397652713,266.269675286587,261.321704664688,-2711931,-468265.7,126766,86685.8,-21220.3
26/04/2024,11.29,13.00,13.09,10.12,11.00,4.38483693377539e-06,8.33450288970867e-06,1.02336856320661e-05,4.90340468143554e-05,8.16928469592902e-06,2174.25,281.737030845445,273.458761579327,283.191966929043,267.626882131479,283.186985761352,-2717462.8,-508319,122938.7,83562.9,-21633.6
27/04/2024,12.35,13.19,14.13,10.22,12.26,0.00010258242483279,0.00252158431838256,2.12394685375559e-05,0.00333872346646787,1.01448504333491e-05,1553.29,266.296564475287,246.969308921575,271.534678678467,234.515874623238,277.516808171464,-2744134.4,-752851.6,111185,75261.5,-27687.3
28/04/2024,10.09,11.17,13.86,8.89,11.79,0.00392391961909639,0.00345176530241367,0.00171222910727715,0.00405262021839267,0.00240574320448833,332.03,137.503770452994,152.515030011182,220.078316889078,153.242783226707,211.624813020076,-2747220.4,-860032.7,104176.3,68021.5,-30135
29/04/2024,10.68,11.94,14.10,10.50,11.14,0.00129739523434275,0.005439876026508,0.000179062699557599,0.00215191600067387,0.000146881692216567,1980.35,162.924035171299,114.69355676847,242.630179067677,182.515302297831,221.518131415698,-2721926.5,-553149.3,113815.3,78446.9,-22611.7
30/04/2024,16.88,17.30,17.08,11.52,14.97,6.25368437279518e-06,0.000704223529502062,0.000116967724147965,5.95762594585598e-05,6.97753754200741e-05,1677.04,278.898004275585,242.987209981075,250.052129333074,229.974504017908,246.096883636007,-2727644.1,-580655.4,107935.9,83632,-22422.4
